,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
16,16,eebgxo,"Hey bitch, What’s up bitch, Suck my dick bitch. 🖕🏼🙂 #letmetalktoyuw 🌈 #HORRORbitch #fuckyoulookingatbish",H MOFO TX,0,0,586,610,24145,No offense but the corona virus disappearing before April actually sucks https://t.co/5BtaZrejD2,[],2020-03-21 23:59:59,en
21,21,Oblivio69213348,Everything,,0,0,4982,1997,42422,"Mitch McConnell's aide implicated in stock market ""moves"" during coronavirus’ early days - Scott Sloofman purchased… https://t.co/1SWRy6HYoC",[],2020-03-21 23:59:59,en
22,22,tanyajgarcia,smile a bit :),,0,0,115,51,1886,Coronavirus Florida: Lake Worth Beach city commission meeting turns ugly https://t.co/bEzaULPOy3,[],2020-03-21 23:59:59,en
25,25,Kate_in_MN,,,0,0,838,402,56496,I know you've seen the advice cautioning you to pay attention to what AG Barr does to further damage the rule of la… https://t.co/57pPnjdBjE,[],2020-03-21 23:59:59,en
27,27,itsonlymejuliec,"Choose life

Ard Mhacha","Northern Ireland, United Kingd",0,0,245,460,5145,"hate that “shortness of breath” is a coronavirus symptom, every time i get to the top of the stairs i think i’ve go… https://t.co/fXTzCejN3V",[],2020-03-21 23:59:59,en
29,29,LovGloria,Sometimes you need to get knocked down before you can really figure out what your fight is and how you need to fight it. - Chadwick Boseman,"Ohio, USA",0,0,357,1314,110423,"The U.S. Food and Drug Administration has approved the first rapid coronavirus test, which can produce results in a… https://t.co/X9mTHudeKZ",[],2020-03-21 23:59:59,en
30,30,crystal_night20,Just another conservative expecting serious damage to Americans by the democrat socialist party in Congress... Stop the Destruction of The US Constitution,,0,0,3540,4384,240087,"Some on the left are calling President Trump racist for calling COVID-19 the ""Chinese Virus."" @dbongino and… https://t.co/TnuVgHyKJv",[],2020-03-21 23:59:59,en
32,32,inesnogueira32,three little birds,"barcelos, esb ",0,0,175,107,4760,For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results,[],2020-03-21 23:59:59,en
33,33,ISpeakAbsolutes,@ManCity @Sixers,,0,0,130,56,4062,"Coronavirus deaths, globally.

January 22nd: 17

February, 21st: 2,360

March 21st: 12,962",[],2020-03-21 23:59:59,en
42,42,NestleCrunch,☜☆☞OTTOMAN BALKAN WOMAN ☜☆ Certified Holiday Designer ☜☆☞ National Assistant at OSCE Parliamentary Assembly, ☜☆☞Skopje ☜☆☞ íڪ†∂ηßﺙℓ ☜☆☞,0,0,3167,1495,53245,"Coronavirus update, Europe:

- Turkey: 277 new cases
- Portugal: 260 new cases
- Norway: 164 new cases
- Czechia: 1… https://t.co/vb6a0nCKSp",[],2020-03-21 23:59:59,en
43,43,susanbordson,"CreativeDirector/Messaging/MediaProducer. Past = BI Worldwide, HBO Asia, WCCO TV. Exec Comms. Ethical Comms. Brand Narratives.
Anti-extremists. Don't peg me.",Twin Cities,0,0,2137,1674,40317,"Excellent news! First point-of-care tests for #COVID19 approved by the FDA. Results available in 45 mins. 
https://t.co/zYuQ3klPEC",['COVID19'],2020-03-21 23:59:59,en
48,48,platygonzalez,@danielleeisabe❤️,,2,0,156,158,12101,The Coronavirus isn’t gonna stop us from shredding the gnar https://t.co/5g8TKpF0lq,[],2020-03-21 23:59:59,en
